#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: sprites.png (312 x 312)
# $TexturePacker:SmartUpdate:78c06da264f3a8553cd911b420ac2ac4:76d291610a4db2d06c19187773720512:9372a5c6e87557cd082219126b413cbe$
#

1up;0;2;302;16;8;16;8;0.5;0.5
100;0;267;147;11;8;11;8;0.5;0.5
200;0;267;175;12;8;12;8;0.5;0.5
400;0;161;295;12;8;12;8;0.5;0.5
800;0;175;295;12;8;12;8;0.5;0.5
1000;0;144;295;15;8;15;8;0.5;0.5
2000;0;87;166;16;8;16;8;0.5;0.5
4000;0;97;275;16;8;16;8;0.5;0.5
8000;0;105;169;16;8;16;8;0.5;0.5
arrow1;0;302;105;8;7;8;7;0.5;0.5
arrow2;0;302;114;8;7;8;7;0.5;0.5
big-back;0;43;261;16;27;16;27;0.5;0.5
big-front;0;142;32;16;27;16;27;0.5;0.518519
big-holding-jump;0;69;148;16;26;16;26;0.4375;0.538462
big-holding-walk1;0;196;32;14;27;14;27;0.5;0.5
big-holding-walk2;0;87;80;15;27;15;27;0.466667;0.518519
big-idle;0;87;109;15;27;16;27;0.5333333333333333;0.5
big-jump1;0;160;32;16;27;16;27;0.4375;0.5
big-jump2;0;178;32;16;27;16;27;0.5;0.5
big-kick;0;45;170;21;27;21;27;0.666667;0.518519
big-sit;0;37;290;15;18;16;18;0.5333333333333333;0.5
big-skid;0;212;31;16;28;16;28;0.5;0.5
big-sprint-jump1;0;44;199;19;26;19;26;0.5;0.5
big-sprint-jump2;0;72;52;19;26;19;26;0.5;0.5
big-sprint1;0;100;32;19;27;19;27;0.5;0.5
big-sprint2;0;121;32;19;27;19;27;0.5;0.5
big-sprint3;0;44;199;19;26;19;26;0.5;0.5
big-to-small;0;20;287;15;23;16;27;0.5333333333333333;0.41304347826086957
big-walk1;0;68;176;16;27;16;27;0.5;0.5
blue-bottom-left;0;97;257;16;16;16;16;0.5;0.5
blue-bottom-mid;0;93;61;16;16;16;16;0.5;0.5
blue-left-top;0;111;61;16;16;16;16;0.5;0.5
blue-mid-left;0;129;61;16;16;16;16;0.5;0.5
blue-mid-mid;0;147;61;16;16;16;16;0.5;0.5
blue-right-bottom;0;165;61;16;16;16;16;0.5;0.5
blue-right-mid;0;183;61;16;16;16;16;0.5;0.5
blue-right-top;0;201;61;16;16;16;16;0.5;0.5
blue-top-mid;0;104;79;16;16;16;16;0.5;0.5
bonus-pipe-bot-left;0;104;97;16;16;16;16;0.5;0.5
bonus-pipe-bot-right;0;122;79;16;16;16;16;0.5;0.5
bonus-pipe-top-left;0;104;115;16;16;16;16;0.5;0.5
bonus-pipe-top-right;0;122;97;16;16;16;16;0.5;0.5
bonus-platform;0;140;79;16;16;16;16;0.5;0.5
boomerang-hold1;0;65;205;16;24;16;24;0.5;0.5
boomerang-hold2;0;79;259;16;24;16;24;0.5;0.5
boomerang-thrown1;0;83;205;16;24;16;24;0.5;0.5
boomerang-thrown2;0;97;231;16;24;16;24;0.5;0.5
boomerang;0;122;115;16;16;16;16;0.5;0.5
brick-1;0;140;97;16;16;16;16;0.5;0.5
brick-2;0;158;79;16;16;16;16;0.5;0.5
brick-3;0;140;115;16;16;16;16;0.5;0.5
brick-4;0;158;97;16;16;16;16;0.5;0.5
bush;0;176;79;16;16;16;16;0.5;0.5
cactus-left-side;0;158;115;16;16;16;16;0.5;0.5
cactus-mid;0;176;97;16;16;16;16;0.5;0.5
cactus-outer-top-left;0;194;79;16;16;16;16;0.5;0.5
cactus-outer-top-right;0;176;115;16;16;16;16;0.5;0.5
cactus-right-side;0;194;97;16;16;16;16;0.5;0.5
cloud-00;0;299;151;9;9;16;16;0.1111111111111111;0.1111111111111111
cloud-01;0;302;123;8;6;16;16;0;1.3333333333333333
cloud-10;0;194;115;16;16;16;16;0.5;0.5
cloud-11;0;86;194;16;9;16;16;0.5;0.8888888888888888
cloud-20;0;299;162;9;9;16;16;0.8888888888888888;0.1111111111111111
cloud-21;0;299;189;7;7;16;16;1.1428571428571428;1.1428571428571428
cloud-flower;0;212;79;16;16;16;16;0.5;0.5
cloud-mushroom;0;230;64;16;16;16;16;0.5;0.5
cloud-star;0;248;63;16;16;16;16;0.5;0.5
coin-1;0;266;61;16;16;16;16;0.5;0.5
coin-2;0;298;133;12;16;16;16;0.5;0.5
coin-3;0;302;31;8;16;16;16;0.5;0.5
coin-4;0;267;157;12;16;16;16;0.5;0.5
coin-collect1;0;302;66;8;14;8;14;0.5;0.5
coin-collect2;0;299;173;4;14;4;14;0.5;0.5
coin-collect3;0;119;206;1;14;1;14;0.5;0.5
end-background;0;284;61;16;16;16;16;0.5;0.5
end-barrier;0;212;97;16;16;16;16;0.5;0.5
end-cactus-left-side;0;230;82;16;16;16;16;0.5;0.5
end-cactus-right-side;0;248;81;16;16;16;16;0.5;0.5
end-cactus-top-left;0;266;79;16;16;16;16;0.5;0.5
end-cactus-top-right;0;284;79;16;16;16;16;0.5;0.5
end-portal-bot-left;0;212;115;16;16;16;16;0.5;0.5
end-portal-bot-mid;0;230;100;16;16;16;16;0.5;0.5
end-portal-bot-right;0;248;99;16;16;16;16;0.5;0.5
end-portal-mid-left;0;266;97;16;16;16;16;0.5;0.5
end-portal-mid-mid;0;284;61;16;16;16;16;0.5;0.5
end-portal-mid-right;0;284;97;16;16;16;16;0.5;0.5
end-portal-top-left;0;230;118;16;16;16;16;0.5;0.5
end-portal-top-mid;0;248;117;16;16;16;16;0.5;0.5
end-portal-top-right;0;266;115;16;16;16;16;0.5;0.5
fire-projectile;0;302;94;8;9;8;9;0.5;0.5
fireflower;0;284;115;16;16;16;16;0.5;0.5
goomba-stomp;0;230;136;16;10;16;16;0.5;0.2
goomba;0;105;133;16;16;16;16;0.5;0.5
grass-mid-left;0;123;133;16;16;16;16;0.5;0.5
grass-mid;0;141;133;16;16;16;16;0.5;0.5
grass-top-left;0;159;133;16;16;16;16;0.5;0.5
grass-top-mid;0;177;133;16;16;16;16;0.5;0.5
green-bottom-left;0;195;133;16;16;16;16;0.5;0.5
green-bottom-mid;0;105;151;16;16;16;16;0.5;0.5
green-bottom-right;0;123;151;16;16;16;16;0.5;0.5
green-mid-left;0;141;151;16;16;16;16;0.5;0.5
green-mid-mid;0;159;151;16;16;16;16;0.5;0.5
green-right-mid;0;177;151;16;16;16;16;0.5;0.5
green-top-left;0;195;151;16;16;16;16;0.5;0.5
green-top-mid;0;213;151;16;16;16;16;0.5;0.5
green-top-right;0;86;176;16;16;16;16;0.5;0.5
greenpiranha-bite-up1;0;230;31;16;31;16;31;0.5;0.483871
greenpiranha-bite-up2;0;2;98;16;32;16;32;0.5;0.5
greenpiranha-down1;0;2;132;16;32;16;32;0.5;0.5
greenpiranha-down2;0;2;166;16;32;16;32;0.5;0.5
greenpiranha-up1;0;2;200;16;32;16;32;0.5;0.5
greenpiranha-up2;0;2;234;16;32;16;32;0.5;0.5
greentroopa-shell1-alt;0;231;148;16;16;16;16;0.5;0.5
greentroopa-shell1;0;249;147;16;16;16;16;0.5;0.5
greentroopa-shell2;0;280;133;16;16;16;16;0.5;0.5
greentroopa-shell3;0;104;179;16;16;16;16;0.5;0.5
greentroopa-walk1;0;61;231;16;27;16;27;0.5;0.5
greentroopa-walk2;0;87;138;16;26;16;26;0.5;0.5
hud-background;0;2;50;16;46;16;46;0.5;0.5
hud;0;2;2;152;28;152;28;0.5;0.5
independent-platform;0;123;169;16;16;16;16;0.5;0.5
inner-cactus-top-left;0;141;169;16;16;16;16;0.5;0.5
inner-cactus-top-right;0;159;169;16;16;16;16;0.5;0.5
lbadge;0;104;197;16;7;16;7;0.5;0.5
leaf;0;122;187;16;14;16;14;0.5;0.5
lucky-box-1;0;177;169;16;16;16;16;0.5;0.5
lucky-box-2;0;195;169;16;16;16;16;0.5;0.5
lucky-box-3;0;213;169;16;16;16;16;0.5;0.5
lucky-box-4;0;231;166;16;16;16;16;0.5;0.5
lucky-box-claimed;0;249;165;16;16;16;16;0.5;0.5
mbadge;0;281;169;16;7;16;7;0.5;0.5
moving-platform-left;0;281;151;16;16;16;16;0.5;0.5
moving-platform-mid;0;140;187;16;16;16;16;0.5;0.5
moving-platform-right;0;158;187;16;16;16;16;0.5;0.5
mushroom-1up;0;176;187;16;16;16;16;0.5;0.5
mushroom;0;194;187;16;16;16;16;0.5;0.5
paragoomba-stomp;0;248;135;16;10;16;16;0.5;0.2
paragoomba;0;212;187;16;16;16;16;0.5;0.5
pause;0;2;32;72;16;72;16;0.5;0.5
pbadge1;0;90;303;15;7;15;7;0.5;0.5
pbadge2;0;107;303;15;7;15;7;0.5;0.5
pink-bot-left;0;101;206;16;16;16;16;0.5;0.5
pink-bot-mid;0;54;290;16;16;16;16;0.5;0.5
